"bi","Freq"
" aldrei",2
" aldursforseti",7
" alls",2
" allsherjarnefnd",3
" alltaf",1
" allur",69
" almennt",1
" almennur",1
" alveg",3
" Alþ.",27
" Alþb.",5
" Alþfl.",13
" alþfl.-maður",1
" Alþingi",8
" Alþm.",1
" alþýða",1
" Alþýðubandalagið",1
" Alþýðublaðið",1
" amt",1
" amtafyrirkomulag",1
" amtsskipulag",1
" andstæðingur",2
" annar",36
" annars",9
" Atkvgr.",1
" ATKVGR.",35
" atkvæðafjöldi",1
" atkvæði",1
" atkvæðisréttur",2
" atvinna",1
" atvinnulíf",1
" atvinnuvegur",1
" auðheyrður",1
" auðlind",1
" auðmannastétt",2
" auðvald",1
" auðvitað",9
" auk",10
" á",161
" áburðarverksmiðja",1
" áðan",1
" áður",3
" ágreiningur",2
" Ágúst",3
" áhrif",2
" áhugi",1
" ákafi",1
" ákveða",2
" ákvæði",5
" ákvörðun",1
" álit",1
" án",1
" ár",13
" árlegur",1
" árn",4
" Árn.",4
" áróður",1
" Ásgeir",5
" ástand",1
" ástæða",10
" átök",1
" áætlun",1
" b.",1
" Baldvin",1
" banki",1
" bara",1
" barátta",4
" barð",35
" Barð.",6
" batnandi",1
" báðir",2
" bátafloti",1
" bátur",1
" beina",1
" benda",1
" Bernharð",11
" biskup",1
" Bjarni",3
" Björgvin",6
" Björn",18
" Björnsson",9
" blað",2
" blaðagrein",1
" Blaðið",1
" boða",1
" Borgarnes",1
" borgf",2
" Borgf.",3
" bókstafur",1
" bóndi",1
" Breyt.",2
" breyting",4
" bréf",2
" Brtt.",45
" búa",1
" búinn",1
" byggðastefna",3
" bygging",1
" bylting",1
" byltingaráform",1
" byrja",1
" bæði",2
" bæjarstjórn",1
" bæklingur",1
" bændafulltrúi",1
" c.",1
" d.",1
" Dal.",3
" Dalur",11
" Dani",1
" deild",3
" detta",2
" Dómsmrh.",5
" dómur",1
" Dr.",1
" dreifbýli",1
" drengilegur",1
" drengskaparheit",1
" Dyra-",1
" dæmi",4
" e.",1
" E.t.v.",2
" Ed.",5
" eða",12
" eðlilega",1
" eðlilegur",2
" ef",130
" efnahagslegur",1
" efni",2
" efnislega",1
" eftir",27
" Eggert",3
" egur",1
" eiga",11
" eigi",1
" Einar",14
" einhver",5
" eining",1
" einkanlega",1
" einmenningskjördæmi",3
" einmitt",5
" einn",37
" einnig",9
" eins",47
" einstaklingslífeyrir",2
" einstakur",1
" ekki",32
" ellilífeyrir",2
" embættismaður",1
" embættismannanefnd",1
" Emil",4
" en",915
" enda",3
" endalaust",1
" endi",1
" endurskoðun",1
" endurskoðunarstarf",1
" endurtaka",1
" enginn",22
" England",1
" enn",12
" er",20
" eyf",29
" Eyf.",13
" Eysteinn",15
" ég",1207
" f.",1
" fara",11
" fastavinna",1
" fatagæsla",1
" fá",2
" fár",3
" fátækur",1
" fela",1
" fé",1
" finna",2
" Finnbogi",6
" Fiskveiðasjóður",1
" fjandskapur",1
" fjárhagsnefnd",2
" fjármagn",1
" fjárplógsstarfsemi",1
" fjárveitinganefnd",1
" fjárþörf",1
" fjöldasamtök",1
" fjöldi",2
" fjölmennur",1
" Flm.",16
" flokkavald",1
" flokksbróðir",1
" flokksstjórn",2
" flokksstjórnarvald",1
" flokksvald",1
" flokksþing",2
" flokksþjónn",1
" flokkur",6
" flytja",4
" flytjandi",1
" fordæmi",1
" foreldrar",1
" forganga",1
" foringi",2
" formaður",1
" formlega",1
" formælandi",2
" formælenda",1
" forsetabréf",2
" forseti",41
" Forsrh.",11
" forustumaður",2
" fólk",8
" Frakkar",1
" fram",11
" frambjóðandi",7
" framför",1
" framleiðsla",1
" framleiðsluráð",1
" Framsfl.",90
" Framsókn",9
" framsóknaríhald",1
" framsóknarmaður",6
" frá",14
" Friðjón",2
" frjáls",2
" Frsm.",27
" frumskilyrði",1
" frv.",1
" Frv.",39
" frægur",2
" Fsp.",5
" fulltrúi",4
" fullyrðing",1
" fundahald",1
" fundur",1
" fylgja",1
" fylkisþing",1
" fylkjaskipunartill",2
" fyrir",23
" fyrirmynd",1
" fyrirmæli",1
" fyrirspurn",1
" fyrirspyrja",4
" fyrirsögn",8
" fyrr",6
" fyrri",1
" fyrrv.",1
" Fyrrv.",2
" fyrrverandi",1
" fyrstur",8
" g",1
" g-k",13
" G-K.",6
" gagnvart",2
" ganga",1
" gefa",1
" gegn",4
" gegnum",1
" gera",7
" geta",14
" gíslagrjót",1
" Gísli",11
" gjaldeyrissparnaður",1
" GK.",1
" gleyma",3
" glöggt",1
" góður",1
" grein",2
" gróður",1
" grundvallarlag",1
" grundvallarmótsetning",1
" grundvöllur",2
" Guðlaugur",4
" Guðmundur",2
" Gunnar",11
" gylfi",2
" gæfa",2
" h.",1
" hafa",66
" hafnf",4
" Hafnf.",3
" halda",14
" Halldór",7
" hann",457
" Hann",31
" Hannes",3
" Hannibal",4
" Hans",3
" haust",1
" Heilbr.-",1
" Heilbrigðis--",2
" heild",1
" heildarkaupverð",1
" heill",1
" heimila",1
" heldri",1
" heldur",1
" helmingaskipti",2
" helmingur",1
" helst",1
" Hermann",6
" herra",5
" hér",66
" hérað",1
" héraðslæknir",1
" hingað",3
" hinn",146
" hitaveita",1
" hjá",1
" hjónalífeyrir",2
" hjú",1
" hljóta",1
" hlutfallskosning",10
" hlutfallskosningakerfi",1
" hlutfallskosningakerfl",1
" hlutverk",1
" hneyksla",1
" hræðilegur",1
" hugmynd",1
" hugsa",2
" hugsanlegur",1
" hugsjón",1
" hugsun",3
" hugur",1
" hún",104
" húnvetning",1
" hús",1
" hv.",2
" Hv.",165
" hvaða",17
" hvaðan",2
" hvar",7
" hvenær",6
" hver",136
" hvergi",2
" hvernig",42
" hvert",1
" hvi",1
" hví",6
" hvílíkur",1
" hvor",4
" hvorki",1
" hvort",5
" hyggja",3
" hæstaréttardómari",1
" Hæstv.",14
" hætta",1
" hættulegur",1
" höfðatöluregla",1
" höfðingi",1
" höfuðregla",1
" höfuðrök",1
" iðnaðarnefnd",2
" Ingólfur",4
" inn",1
" Innflutnings-",1
" innheimta",1
" innihald",1
" í",205
" íhald",1
" ísaf",6
" Ísaf.",1
" Ísland",4
" Íslendingur",2
" íslenskur",3
" ja",14
" jafnaðarmaður",6
" jafnframt",6
" jafnskjótt",1
" jafnvel",3
" jarðhitarannsókn",1
" já",3
" játa",1
